Size InsertionSort QuickSort HeapSort RadixSort HybridSort
1 48 107 49 78 67
2 63 57 65 562 67
3 52 184 137 693 60
4 67 115 125 594 72
5 82 114 125 559 87
6 92 128 155 499 98
7 110 163 197 466 119
8 122 181 232 467 128
9 139 211 273 470 147
10 169 258 341 534 175
11 187 290 388 873 194
12 210 324 446 1038 217
13 233 368 498 1144 239
14 257 395 556 1207 266
15 287 431 610 1278 291
16 353 533 783 1617 386
17 337 508 741 1413 347
18 368 548 813 1546 381
19 396 584 869 1520 407
20 424 621 938 1591 440
21 458 660 1006 1654 468
22 485 694 1066 1698 499
23 521 735 1136 1765 534
24 552 774 1202 1833 566
25 593 818 1286 1906 608
26 684 923 1455 2187 700
27 667 900 1425 2025 684
28 701 940 1495 2093 719
29 737 976 1559 2134 755
30 780 1023 1645 2200 801
31 821 1066 1711 2274 842
32 864 1106 1786 2348 904
33 899 1144 1855 2375 923
34 954 1196 1943 2470 974
35 995 1238 2021 2532 1024
36 1034 1273 2088 2554 1060
37 1087 1324 2184 2647 1117
38 1185 1413 2343 2880 1221
39 1184 1405 2339 2786 1220
40 1232 1447 2417 2814 1278
41 1290 1490 2489 2916 1323
42 1334 1543 2576 2950 1374
43 1413 1623 2700 3089 1457
44 1459 1648 2768 3139 1504
45 1651 1788 3200 4414 1714
46 2017 1951 3310 3826 1863
47 1655 1808 3058 3388 1707
48 1691 1838 3122 3406 1738
49 1720 1853 3147 3393 1795
50 1802 1921 3266 3512 1882
51 1839 1952 3316 3511 1893
52 1897 1995 3393 3573 1954
53 1963 2040 3487 3641 2020
54 2026 2090 3578 3683 2091
55 2089 2138 3662 3755 2138
56 2223 2213 3801 3889 2019
57 2215 2232 3835 3884 2033
58 2293 2286 3941 3961 2085
59 2364 2333 4025 4042 2132
60 2433 2385 4118 4102 2185
61 2490 2425 4188 4151 2220
62 2563 2473 4305 4222 2273
63 2644 2526 4393 4294 2392
64 2767 2617 4537 4444 2418
65 2795 2631 4572 4436 2424
66 2913 2710 4706 4619 2537
67 2950 2728 4759 4546 2527
68 3038 2786 4862 4621 2582
69 3101 2830 4935 4734 2619
70 3183 2876 5021 4708 2665
71 3261 2923 5108 4783 2714
72 3322 2961 5183 4805 2755
73 3422 3026 5301 4899 2815
74 3499 3074 5801 4975 2862
75 3598 3128 5509 5031 2923
76 3664 3170 5575 5080 2961
77 3755 3232 5678 5156 3019
78 3838 3295 5767 5194 3128
79 3933 3329 5869 5309 3118
80 4420 3476 6155 5602 3305
81 4396 3438 6128 5417 3237
82 4486 3479 6194 5468 3272
83 4564 3524 6282 5529 3308
84 4717 3585 6404 5601 3377
85 4800 3648 6510 5693 3439
86 4862 3681 6745 5731 3478
87 5006 3732 6673 5775 3530
88 5076 3796 6792 5877 3584
89 5185 3842 6873 5902 3630
90 5299 3895 6980 5964 3683
91 5432 3970 7110 6054 3752
92 5525 3995 7183 6095 3789
93 5581 4037 7260 6132 3829
94 5683 4082 7350 6169 3875
95 5818 4149 7465 6253 3935
96 5902 4186 7544 6313 3980
97 6004 4237 7655 6353 4023
98 6154 4313 7751 6437 4094
99 6241 4331 7818 6460 4123
100 6356 4385 7910 6517 4240
